episode,reward,avg_loss,epsilon,action0_frac,action1_frac,action2_frac
98,0.500000,0.000000,0.996906,1.000000,0.000000,0.000000
99,2.500000,0.000000,0.996875,0.000000,0.000000,1.000000
100,2.500000,0.000000,0.996844,0.000000,0.000000,1.000000
101,2.500000,0.000000,0.996812,0.000000,0.000000,1.000000
102,0.500000,0.000000,0.996781,1.000000,0.000000,0.000000
103,2.500000,0.000000,0.996750,0.000000,0.000000,1.000000
104,2.500000,0.000000,0.996719,0.000000,0.000000,1.000000
105,2.500000,0.000000,0.996687,0.000000,0.000000,1.000000
106,1.166700,0.000000,0.996656,0.000000,1.000000,0.000000
107,0.500000,0.000000,0.996625,1.000000,0.000000,0.000000
108,0.500000,0.000000,0.996594,1.000000,0.000000,0.000000
109,2.500000,0.000000,0.996563,0.000000,0.000000,1.000000
110,1.166700,0.000000,0.996531,0.000000,1.000000,0.000000
111,0.500000,0.000000,0.996500,1.000000,0.000000,0.000000
112,0.500000,0.000000,0.996469,1.000000,0.000000,0.000000
113,1.166700,0.000000,0.996437,0.000000,1.000000,0.000000
114,0.500000,0.000000,0.996406,1.000000,0.000000,0.000000
115,2.500000,0.000000,0.996375,0.000000,0.000000,1.000000
116,2.500000,0.000000,0.996344,0.000000,0.000000,1.000000
117,2.500000,0.000000,0.996313,0.000000,0.000000,1.000000
118,1.166700,0.000000,0.996281,0.000000,1.000000,0.000000
119,1.166700,0.000000,0.996250,0.000000,1.000000,0.000000
120,1.166700,0.000000,0.996219,0.000000,1.000000,0.000000
121,1.166700,0.000000,0.996188,0.000000,1.000000,0.000000
122,0.500000,0.000000,0.996156,1.000000,0.000000,0.000000
123,1.166700,0.000000,0.996125,0.000000,1.000000,0.000000
124,0.500000,0.000000,0.996094,1.000000,0.000000,0.000000
125,1.166700,0.000000,0.996062,0.000000,1.000000,0.000000
126,0.500000,0.000000,0.996031,1.000000,0.000000,0.000000
127,0.500000,0.000000,0.996000,1.000000,0.000000,0.000000
128,0.500000,0.000000,0.995969,1.000000,0.000000,0.000000
129,1.166700,0.000000,0.995938,0.000000,1.000000,0.000000
130,0.500000,0.000000,0.995906,1.000000,0.000000,0.000000
131,2.500000,0.000000,0.995875,0.000000,0.000000,1.000000
132,1.166700,0.000000,0.995844,0.000000,1.000000,0.000000
133,1.166700,0.000000,0.995812,0.000000,1.000000,0.000000
134,1.166700,0.000000,0.995781,0.000000,1.000000,0.000000
135,0.500000,0.000000,0.995750,1.000000,0.000000,0.000000
136,2.500000,0.000000,0.995719,0.000000,0.000000,1.000000
137,1.166700,0.000000,0.995687,0.000000,1.000000,0.000000
138,2.500000,0.000000,0.995656,0.000000,0.000000,1.000000
139,0.500000,0.000000,0.995625,1.000000,0.000000,0.000000
140,1.166700,0.000000,0.995594,0.000000,1.000000,0.000000
141,1.166700,0.000000,0.995563,0.000000,1.000000,0.000000
142,2.500000,0.000000,0.995531,0.000000,0.000000,1.000000
143,1.166700,0.000000,0.995500,0.000000,1.000000,0.000000
144,1.166700,0.000000,0.995469,0.000000,1.000000,0.000000
145,0.500000,0.000000,0.995437,1.000000,0.000000,0.000000
146,0.500000,0.000000,0.995406,1.000000,0.000000,0.000000
147,1.166700,0.000000,0.995375,0.000000,1.000000,0.000000
148,1.166700,0.000000,0.995344,0.000000,1.000000,0.000000
149,0.500000,0.000000,0.995313,1.000000,0.000000,0.000000
150,2.500000,0.000000,0.995281,0.000000,0.000000,1.000000
151,2.500000,0.000000,0.995250,0.000000,0.000000,1.000000
152,0.500000,0.000000,0.995219,1.000000,0.000000,0.000000
153,1.166700,0.000000,0.995188,0.000000,1.000000,0.000000
154,0.500000,0.000000,0.995156,1.000000,0.000000,0.000000
155,2.500000,0.000000,0.995125,0.000000,0.000000,1.000000
156,0.500000,0.000000,0.995094,1.000000,0.000000,0.000000
157,1.166700,0.000000,0.995062,0.000000,1.000000,0.000000
158,2.500000,0.000000,0.995031,0.000000,0.000000,1.000000
159,2.500000,0.000000,0.995000,0.000000,0.000000,1.000000
160,0.500000,0.000000,0.994969,1.000000,0.000000,0.000000
161,2.500000,0.000000,0.994938,0.000000,0.000000,1.000000
162,0.500000,0.000000,0.994906,1.000000,0.000000,0.000000
163,0.500000,0.000000,0.994875,1.000000,0.000000,0.000000
164,1.166700,0.000000,0.994844,0.000000,1.000000,0.000000
165,1.166700,0.000000,0.994812,0.000000,1.000000,0.000000
166,2.500000,0.000000,0.994781,0.000000,0.000000,1.000000
167,2.500000,0.000000,0.994750,0.000000,0.000000,1.000000
168,0.500000,0.000000,0.994719,1.000000,0.000000,0.000000
169,2.500000,0.000000,0.994687,0.000000,0.000000,1.000000
170,0.500000,0.000000,0.994656,1.000000,0.000000,0.000000
171,1.166700,0.000000,0.994625,0.000000,1.000000,0.000000
172,0.500000,0.000000,0.994594,1.000000,0.000000,0.000000
173,2.500000,0.000000,0.994563,0.000000,0.000000,1.000000
174,0.500000,0.000000,0.994531,1.000000,0.000000,0.000000
175,0.500000,0.000000,0.994500,1.000000,0.000000,0.000000
176,1.166700,0.000000,0.994469,0.000000,1.000000,0.000000
177,2.500000,0.000000,0.994437,0.000000,0.000000,1.000000
178,2.500000,0.000000,0.994406,0.000000,0.000000,1.000000
179,2.500000,0.000000,0.994375,0.000000,0.000000,1.000000
180,2.500000,0.000000,0.994344,0.000000,0.000000,1.000000
181,2.500000,0.000000,0.994313,0.000000,0.000000,1.000000
182,1.166700,0.000000,0.994281,0.000000,1.000000,0.000000
183,0.500000,0.000000,0.994250,1.000000,0.000000,0.000000
184,2.500000,0.000000,0.994219,0.000000,0.000000,1.000000
185,1.166700,0.000000,0.994188,0.000000,1.000000,0.000000
186,1.166700,0.000000,0.994156,0.000000,1.000000,0.000000
187,0.500000,0.000000,0.994125,1.000000,0.000000,0.000000
188,2.500000,0.000000,0.994094,0.000000,0.000000,1.000000
